2026-08-13 17:48:13,126 | INFO | log_code=qwen3_3_moe.py:587 function=main | Arguments | {'model_path': 'master', 'prompt': 'Explain why the sky is blue in one sentence.', 'max_new_tokens': 4, 'device': 'auto', 'dtype': 'auto', 'temperature': 0.0, 'top_k': 0, 'seed': 42, 'trace_layers': '0,last', 'tensor_values': 6, 'router_rows': 4, 'log_top_tokens': 5, 'log_level': 'INFO', 'log_file': 'qwen3_3_moe_trace.log', 'tiny_random': False}
2026-08-13 17:48:17,827 | INFO | log_code=qwen3_3_moe.py:452 function=log_model_layout | Model | parameters=30532122624 layers=48 hidden=2048 attention_heads=32 kv_heads=4 experts=128 top_k=8
2026-08-13 17:48:17,827 | INFO | log_code=qwen3_3_moe.py:463 function=log_model_layout | Device map | {'model.embed_tokens': 0, 'model.layers.0': 'cpu', 'model.layers.1': 'cpu', 'model.layers.2': 'cpu', 'model.layers.3': 'cpu', 'model.layers.4': 'cpu', 'model.layers.5': 'cpu', 'model.layers.6': 'cpu', 'model.layers.7': 'cpu', 'model.layers.8': 'cpu', 'model.layers.9': 'cpu', 'model.layers.10': 'cpu', 'model.layers.11': 'cpu', 'model.layers.12': 'cpu', 'model.layers.13': 'cpu', 'model.layers.14': 'cpu', 'model.layers.15': 'cpu', 'model.layers.16': 'cpu', 'model.layers.17': 'cpu', 'model.layers.18': 'cpu', 'model.layers.19': 'cpu', 'model.layers.20': 'cpu', 'model.layers.21': 'cpu', 'model.layers.22': 'cpu', 'model.layers.23': 'cpu', 'model.layers.24': 'cpu', 'model.layers.25': 'cpu', 'model.layers.26': 'cpu', 'model.layers.27': 'cpu', 'model.layers.28': 'cpu', 'model.layers.29': 'cpu', 'model.layers.30': 'cpu', 'model.layers.31': 'cpu', 'model.layers.32': 'cpu', 'model.layers.33': 'cpu', 'model.layers.34': 'cpu', 'model.layers.35': 'cpu', 'model.layers.36': 'cpu', 'model.layers.37': 'cpu', 'model.layers.38': 'cpu', 'model.layers.39': 'cpu', 'model.layers.40': 'disk', 'model.layers.41': 'disk', 'model.layers.42': 'disk', 'model.layers.43': 'disk', 'model.layers.44': 'disk', 'model.layers.45': 'disk', 'model.layers.46': 'disk', 'model.layers.47': 'disk', 'model.norm': 'disk', 'model.rotary_emb': 'disk', 'lm_head': 'disk'}
2026-08-13 17:48:17,835 | INFO | log_code=qwen3_3_moe.py:234 function=install | Tracing layers: [0, 47]
2026-08-13 17:48:17,836 | INFO | log_code=qwen3_3_moe.py:518 function=run_generation | Prompt | 'Explain why the sky is blue in one sentence.'
2026-08-13 17:48:17,836 | INFO | log_code=qwen3_3_moe.py:519 function=run_generation | Prompt input_ids | [[840, 20772, 3170, 279, 12884, 374, 6303, 304, 825, 11652, 13]]
2026-08-13 17:48:17,836 | INFO | log_code=qwen3_3_moe.py:520 function=run_generation | Prompt tokens | ['Ex', 'plain', 'Ġwhy', 'Ġthe', 'Ġsky', 'Ġis', 'Ġblue', 'Ġin', 'Ġone', 'Ġsentence', '.']
2026-08-13 17:48:17,836 | INFO | log_code=qwen3_3_moe.py:529 function=run_generation | STEP 0 BEGIN | phase=prefill input_shape=(1, 11) attention_mask_shape=(1, 11) cache_before=0
2026-08-13 17:48:18,360 | INFO | log_code=qwen3_3_moe.py:293 function=hook | model_code=modeling_qwen3_moe.py:465 function=Qwen3MoeModel.forward | variable=layer[0].cache_position | shape=(11,) dtype=torch.int64 device=cuda:0 min=0 max=10 sample=[0, 1, 2, 3, 4, 5]
2026-08-13 17:48:18,360 | INFO | log_code=qwen3_3_moe.py:300 function=hook | model_code=modeling_qwen3_moe.py:472 function=Qwen3MoeModel.forward | variable=layer[0].causal_mask | shape=(1, 1, 11, 11) dtype=torch.bfloat16 device=cuda:0 min=-3.38953e+38 max=0 mean=-inf std=inf sample=[0.0, -3.3895313892515355e+38, -3.3895313892515355e+38, -3.3895313892515355e+38, -3.3895313892515355e+38, -3.3895313892515355e+38]
2026-08-13 17:48:18,360 | INFO | log_code=qwen3_3_moe.py:310 function=hook | model_code=modeling_qwen3_moe.py:174 function=Qwen3MoeAttention.forward | variable=layer[0].kv_cache_after_attention | sequence_length=11
2026-08-13 17:48:18,361 | INFO | log_code=qwen3_3_moe.py:319 function=hook | model_code=modeling_qwen3_moe.py:174 function=Qwen3MoeAttention.forward | variable=layer[0].k_cache_after_rope | shape=(1, 4, 11, 128) dtype=torch.bfloat16 device=cuda:0 min=-36.75 max=38.5 mean=0.042459 std=3.23984 sample=[1.765625, 0.8671875, 0.4921875, 0.70703125, 0.455078125, -0.09716796875]
2026-08-13 17:48:18,361 | INFO | log_code=qwen3_3_moe.py:325 function=hook | model_code=modeling_qwen3_moe.py:174 function=Qwen3MoeAttention.forward | variable=layer[0].v_cache | shape=(1, 4, 11, 128) dtype=torch.bfloat16 device=cuda:0 min=-0.0517578 max=0.0478516 mean=-7.04896e-05 std=0.00823728 sample=[-0.004425048828125, 0.00408935546875, -0.001129150390625, 0.00070953369140625, -0.000766754150390625, -0.0008697509765625]
2026-08-13 17:48:18,361 | INFO | log_code=qwen3_3_moe.py:333 function=hook | model_code=modeling_qwen3_moe.py:193 function=Qwen3MoeAttention.forward | variable=layer[0].attention_output | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-0.828125 max=0.351562 mean=-0.000608348 std=0.021702 sample=[-0.004730224609375, -0.00848388671875, 0.018798828125, 0.00811767578125, 0.00567626953125, 0.002197265625]
2026-08-13 17:48:18,361 | INFO | log_code=qwen3_3_moe.py:340 function=hook | model_code=modeling_qwen3_moe.py:114 function=eager_attention_forward | variable=layer[0].attention_weights | shape=(1, 32, 11, 11) dtype=torch.bfloat16 device=cuda:0 min=0 max=1 mean=0.0909146 std=0.194477 sample=[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026-08-13 17:48:18,362 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:358 function=Qwen3MoeDecoderLayer.forward | variable=layer[0].post_attention_norm | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-2.73438 max=2.65625 mean=-0.00280051 std=0.172061 sample=[0.01611328125, 0.1240234375, 0.232421875, 0.1982421875, 0.23828125, 0.1904296875]
2026-08-13 17:48:18,401 | INFO | log_code=qwen3_3_moe.py:363 function=hook | model_code=modeling_qwen3_moe.py:231 function=Qwen3MoeSparseMoeBlock.forward | variable=layer[0].router_logits | shape=(11, 128) dtype=torch.bfloat16 device=cuda:0 min=-9.4375 max=-1.75 mean=-4.98566 std=0.961969 sample=[-4.375, -5.78125, -5.25, -4.375, -4.0625, -4.5]
2026-08-13 17:48:18,401 | INFO | log_code=qwen3_3_moe.py:369 function=hook | model_code=modeling_qwen3_moe.py:234 function=Qwen3MoeSparseMoeBlock.forward | variable=layer[0].selected_experts_last_4 | [[69, 107, 93, 120, 31, 61, 122, 53], [7, 34, 50, 87, 106, 21, 61, 80], [125, 97, 23, 62, 41, 28, 77, 112], [65, 98, 114, 43, 73, 72, 100, 45]]
2026-08-13 17:48:18,401 | INFO | log_code=qwen3_3_moe.py:376 function=hook | model_code=modeling_qwen3_moe.py:234 function=Qwen3MoeSparseMoeBlock.forward | variable=layer[0].routing_weights_last_4 | [[0.19469204545021057, 0.18870200216770172, 0.16915138065814972, 0.1257026344537735, 0.1025955080986023, 0.0850546583533287, 0.07744314521551132, 0.056658610701560974], [0.34773343801498413, 0.16425766050815582, 0.14495685696601868, 0.10278980433940887, 0.08005278557538986, 0.0613785982131958, 0.05249989405274391, 0.046330999583005905], [0.18863093852996826, 0.16134460270404816, 0.1380053460597992, 0.12763409316539764, 0.09940152615308762, 0.09940152615308762, 0.0978604406118393, 0.08772154152393341], [0.2928454577922821, 0.18183189630508423, 0.12893810868263245, 0.11378749459981918, 0.08455968648195267, 0.076992467045784, 0.06382900476455688, 0.057215940207242966]]
2026-08-13 17:48:18,401 | INFO | log_code=qwen3_3_moe.py:383 function=hook | model_code=modeling_qwen3_moe.py:249 function=Qwen3MoeSparseMoeBlock.forward | variable=layer[0].expert_load | [(2, 1), (3, 1), (6, 1), (7, 1), (12, 1), (13, 1), (16, 1), (21, 3), (22, 2), (23, 1), (28, 3), (29, 2), (31, 2), (33, 2), (34, 2), (41, 1), (43, 1), (44, 2), (45, 1), (50, 4), (53, 3), (57, 1), (61, 3), (62, 2), (63, 1), (64, 2), (65, 1), (67, 1), (68, 1), (69, 1), (71, 1), (72, 1), (73, 1), (75, 1), (77, 2), (80, 2), (87, 3), (91, 1), (93, 1), (97, 1), (98, 1), (100, 1), (104, 1), (106, 2), (107, 2), (110, 2), (111, 1), (112, 1), (114, 3), (116, 2), (120, 3), (122, 1), (124, 3), (125, 1), (127, 1)]
2026-08-13 17:48:18,539 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:263 function=Qwen3MoeSparseMoeBlock.forward | variable=layer[0].mlp_output | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-1.21094 max=0.65625 mean=-0.000140795 std=0.0278778 sample=[-0.04345703125, 0.02734375, 0.03173828125, 0.01043701171875, 0.01153564453125, 0.0147705078125]
2026-08-13 17:48:18,539 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:363 function=Qwen3MoeDecoderLayer.forward | variable=layer[0].output | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-1.94531 max=0.890625 mean=-0.00082398 std=0.0473012 sample=[-0.04052734375, 0.04931640625, 0.06982421875, 0.038818359375, 0.04443359375, 0.05126953125]
2026-08-13 17:48:24,221 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:342 function=Qwen3MoeDecoderLayer.forward | variable=layer[47].input_norm | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-23.625 max=48.75 mean=-0.00245075 std=0.984643 sample=[0.072265625, 0.0196533203125, 0.03857421875, 0.026123046875, 0.061767578125, -0.0947265625]
2026-08-13 17:48:24,226 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:164 function=Qwen3MoeAttention.forward | variable=layer[47].q_proj | shape=(1, 11, 4096) dtype=torch.bfloat16 device=cuda:0 min=-12.5 max=15.875 mean=-0.00148564 std=1.79318 sample=[-0.765625, 1.9765625, 0.162109375, -2.15625, -2.515625, 0.77734375]
2026-08-13 17:48:24,227 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:164 function=Qwen3MoeAttention.forward | variable=layer[47].q_norm | shape=(1, 11, 32, 128) dtype=torch.bfloat16 device=cuda:0 min=-27.125 max=34.5 mean=0.0555025 std=1.90764 sample=[-1.859375, 3.078125, 0.30859375, -3.890625, -5.09375, -0.0120849609375]
2026-08-13 17:48:24,229 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:165 function=Qwen3MoeAttention.forward | variable=layer[47].k_proj | shape=(1, 11, 512) dtype=torch.bfloat16 device=cuda:0 min=-9.75 max=6.34375 mean=0.0448335 std=1.27359 sample=[0.00897216796875, -0.00555419921875, -0.027587890625, -0.00311279296875, -0.0185546875, 2.34375]
2026-08-13 17:48:24,231 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:165 function=Qwen3MoeAttention.forward | variable=layer[47].k_norm | shape=(1, 11, 4, 128) dtype=torch.bfloat16 device=cuda:0 min=-9.8125 max=18.875 mean=0.0826755 std=1.81645 sample=[0.01116943359375, -0.01226806640625, -0.0208740234375, -0.00677490234375, -0.0303955078125, 0.020263671875]
2026-08-13 17:48:24,232 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:166 function=Qwen3MoeAttention.forward | variable=layer[47].v_proj | shape=(1, 11, 512) dtype=torch.bfloat16 device=cuda:0 min=-8.3125 max=6 mean=0.0152891 std=0.699533 sample=[0.026123046875, 0.197265625, 0.0751953125, -0.0257568359375, -02026-08-13 18:30:37,585 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:255 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:263 function=Qwen3MoeSparseMoeBlock.forward | variable=layer[0].mlp_output | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-1.21094 max=0.65625 mean=-0.000140795 std=0.0278778 sample=[-0.04345703125, 0.02734375, 0.03173828125, 0.01043701171875, 0.01153564453125, 0.0147705078125]
2026-08-13 18:30:37,585 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:255 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:363 function=Qwen3MoeDecoderLayer.forward | variable=layer[0].output | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-1.94531 max=0.890625 mean=-0.00082398 std=0.0473012 sample=[-0.04052734375, 0.04931640625, 0.06982421875, 0.038818359375, 0.04443359375, 0.05126953125]
2026-08-13 18:30:41,278 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:255 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:342 function=Qwen3MoeDecoderLayer.forward | variable=layer[47].input_norm | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-23.625 max=48.75 mean=-0.00245075 std=0.984643 sample=[0.072265625, 0.0196533203125, 0.03857421875, 0.026123046875, 0.061767578125, -0.0947265625]
2026-08-13 18:30:41,282 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:255 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:164 function=Qwen3MoeAttention.forward | variable=layer[47].q_proj | shape=(1, 11, 4096) dtype=torch.bfloat16 device=cuda:0 min=-12.5 max=15.875 mean=-0.00148564 std=1.79318 sample=[-0.765625, 1.9765625, 0.162109375, -2.15625, -2.515625, 0.77734375]
2026-08-13 18:30:41,282 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:255 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:164 function=Qwen3MoeAttention.forward | variable=layer[47].q_norm | shape=(1, 11, 32, 128) dtype=torch.bfloat16 device=cuda:0 min=-27.125 max=34.5 mean=0.0555025 std=1.90764 sample=[-1.859375, 3.078125, 0.30859375, -3.890625, -5.09375, -0.0120849609375]
2026-08-13 18:30:41,283 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:255 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:165 function=Qwen3MoeAttention.forward | variable=layer[47].k_proj | shape=(1, 11, 512) dtype=torch.bfloat16 device=cuda:0 min=-9.75 max=6.34375 mean=0.0448335 std=1.27359 sample=[0.00897216796875, -0.00555419921875, -0.027587890625, -0.00311279296875, -0.0185546875, 2.34375]
2026-08-13 18:30:41,284 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:255 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:165 function=Qwen3MoeAttention.forward | variable=layer[47].k_norm | shape=(1, 11, 4, 128) dtype=torch.bfloat16 device=cuda:0 min=-9.8125 max=18.875 mean=0.0826755 std=1.81645 sample=[0.01116943359375, -0.01226806640625, -0.0208740234375, -0.00677490234375, -0.0303955078125, 0.020263671875]
2026-08-13 18:30:41,285 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:255 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:166 function=Qwen3MoeAttention.forward | variable=layer[47].v_proj | shape=(1, 11, 512) dtype=torch.bfloat16 device=cuda:0 min=-8.3125 max=6 mean=0.0152891 std=0.699533 sample=[0.026123046875, 0.197265625, 0.0751953125, -0.0257568359375, -0.0498046875, -0.0106201171875]
2026-08-13 18:30:41,288 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:293 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:465 function=Qwen3MoeModel.forward | variable=layer[47].cache_position | shape=(11,) dtype=torch.int64 device=cuda:0 min=0 max=10 sample=[0, 1, 2, 3, 4, 5]
2026-08-13 18:30:41,288 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:300 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:472 function=Qwen3MoeModel.forward | variable=layer[47].causal_mask | shape=(1, 1, 11, 11) dtype=torch.bfloat16 device=cuda:0 min=-3.38953e+38 max=0 mean=-inf std=inf sample=[0.0, -3.3895313892515355e+38, -3.3895313892515355e+38, -3.3895313892515355e+38, -3.3895313892515355e+38, -3.3895313892515355e+38]
2026-08-13 18:30:41,288 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:310 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:174 function=Qwen3MoeAttention.forward | variable=layer[47].kv_cache_after_attention | sequence_length=11
2026-08-13 18:30:41,289 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:319 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:174 function=Qwen3MoeAttention.forward | variable=layer[47].k_cache_after_rope | shape=(1, 4, 11, 128) dtype=torch.bfloat16 device=cuda:0 min=-9.8125 max=18.875 mean=0.101248 std=1.81544 sample=[0.01116943359375, -0.01226806640625, -0.0208740234375, -0.00677490234375, -0.0303955078125, 0.020263671875]
2026-08-13 18:30:41,289 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:325 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:174 function=Qwen3MoeAttention.forward | variable=layer[47].v_cache | shape=(1, 4, 11, 128) dtype=torch.bfloat16 device=cuda:0 min=-8.3125 max=6 mean=0.0152891 std=0.699533 sample=[0.026123046875, 0.197265625, 0.0751953125, -0.0257568359375, -0.0498046875, -0.0106201171875]
2026-08-13 18:30:41,289 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:333 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:193 function=Qwen3MoeAttention.forward | variable=layer[47].attention_output | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-712 max=14.25 mean=-0.0675954 std=4.93438 sample=[-1.890625, -1.484375, -1.78125, -0.2578125, -1.40625, 2.59375]
2026-08-13 18:30:41,289 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:340 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:114 function=eager_attention_forward | variable=layer[47].attention_weights | shape=(1, 32, 11, 11) dtype=torch.bfloat16 device=cuda:0 min=0 max=1 mean=0.0909109 std=0.223982 sample=[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026-08-13 18:30:41,290 | INFO | log_code=/home/qwe/workspace/llama.cpp/qwen3_3_moe.py:255 function=hook | model_code=/home/qwe/workspace/llama.cpp/.venv/lib/python3.12/site-packages/transformers/models/qwen3_moe/modeling_qwen3_moe.py:358 function=Qwen3MoeDecoderLayer.forward | variable=layer[47].post_attention_norm | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-16.75 max=32.25 mean=0.00604842 std=1.12756 sample=[-0.173828125, -0.50390625, -0.2275390625, 0.2734375, 0.21484375, 0.287109375]
